Date,Snow Water Equivalent [mm],Accumulated Precipitation [mm],Precipitation Increment [mm],Tmax (degC),Tmin (degC),Tmean (degC),Year,DOY,Snow on Ground
1999-10-01,0.000,0.000,0.000,11.722,2.889,7.500,1999,274,0
1999-10-02,0.000,0.000,0.000,11.611,0.500,6.278,1999,275,0
1999-10-03,0.000,0.000,0.000,14.389,0.500,7.778,1999,276,0
1999-10-04,0.000,0.000,0.000,19.722,6.778,13.500,1999,277,0
1999-10-05,0.000,0.000,0.000,16.889,8.111,12.389,1999,278,0
1999-10-06,0.000,0.000,0.000,10.778,3.000,6.111,1999,279,0
1999-10-07,0.000,0.000,0.000,9.222,1.611,5.722,1999,280,0
1999-10-08,0.000,0.000,0.000,16.278,3.611,10.500,1999,281,0
1999-10-09,0.000,0.000,0.000,11.889,4.000,7.778,1999,282,0
1999-10-10,0.000,0.000,0.000,16.722,3.611,10.500,1999,283,0
1999-10-11,0.000,0.000,0.000,17.000,8.778,13.000,1999,284,0
1999-10-12,0.000,0.000,0.000,14.222,6.222,9.778,1999,285,0
1999-10-13,0.000,0.000,0.000,17.778,5.778,11.000,1999,286,0
1999-10-14,0.000,0.000,0.000,10.111,-0.111,6.778,1999,287,0
1999-10-15,0.000,0.000,0.000,3.111,-2.722,0.222,1999,288,0
1999-10-16,0.000,0.000,0.000,4.222,-2.889,-0.111,1999,289,0
1999-10-17,0.000,0.000,0.000,9.778,-2.778,4.000,1999,290,0
1999-10-18,0.000,0.000,0.000,10.778,2.278,6.611,1999,291,0
1999-10-19,0.000,0.000,0.000,11.389,0.778,5.611,1999,292,0
1999-10-20,0.000,0.000,0.000,15.278,2.222,7.722,1999,293,0
1999-10-21,0.000,0.000,0.000,17.111,4.389,9.500,1999,294,0
1999-10-22,0.000,0.000,0.000,18.389,5.278,11.889,1999,295,0
1999-10-23,0.000,0.000,0.000,16.778,7.889,12.611,1999,296,0
1999-10-24,0.000,0.000,0.000,13.389,3.222,8.000,1999,297,0
1999-10-25,0.000,0.000,0.000,14.889,7.278,10.278,1999,298,0
1999-10-26,0.000,0.000,0.000,15.111,0.389,7.778,1999,299,0
1999-10-27,0.000,0.000,2.540,9.611,-2.278,4.778,1999,300,0
